Average monthly temperatures in Dubuque, Iowa, 
January 1964 through December 1975, n=144

	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
JAN    -4.06    -8.83    -12.0    -5.83    -7.17    -10.0    -13.11   -11.56   -10.33   -5.28    -8.0     -6.44
FEB    -3.5     -7.17    -5.78    -9.61    -6.33    -4.39    -7.22    -6.67    -8.22    -3.5     -6.39    -6.89
MAR    -0.78    -4.33    3.0      1.67     4.56     -1.44    -0.33    -1.33    -0.67    5.72     1.22     -4.11
APR    8.61     7.44     7.06     9.06     10.0     8.11     9.28     8.72     6.5      7.33     9.56     5.17
MAY    17.17    16.28    11.78    12.22    12.94    14.78    16.44    13.22    16.83    13.06    12.67    16.56
JUN    20.28    19.17    20.0     20.11    19.83    16.78    20.06    22.89    19.11    20.5     17.67    20.28
JUL    23.17    22.28    23.17    20.89    21.5     22.28    22.33    20.0     21.22    22.39    23.33    22.22
AUG    19.94    20.22    20.11    18.72    21.28    22.06    21.44    19.5     22.0     22.39    19.5     21.72
SEP    16.17    15.67    15.94    16.0     15.89    16.61    16.94    18.28    16.72    16.94    14.28    14.06
OCT    9.17     10.5     10.11    9.5      10.39    8.67     11.5     13.94    7.78     13.11    10.44    11.39
NOV    4.22     3.0      2.89     0.67     2.11     1.22     2.61     3.11     0.39     3.33     2.67     4.78
DEC    -6.67    -0.5     -4.11    -3.33    -6.28    -6.44    -4.56    -2.39    -8.17    -6.44    -3.61    -3.22
